lexicon,lemma,source,strength
'singleton','singleton',cooc,w
correct!,correct!,cooc,s
hydrated,hydrated,cooc,w
asymmetrical,asymmetrical,cooc,s
monolithic,monolithic,cooc,s
warred,warred,cooc,s
unpickable,unpickable,cooc,s
encapsulating,encapsulating,cooc,w
'mutable,'mutable,cooc,s
vulnerability],vulnerability],cooc,s
expandable,expandable,cooc,s
antipattern,antipattern,cooc,s
downvoted,downvoted,cooc,s
unintended,unintended,cooc,w
symmetrical,symmetrical,cooc,s
foundational,foundational,cooc,s
uninitialised,uninitialised,cooc,w
"""fake""","""fake""",cooc,s
"faulty""*","faulty""*",cooc,s
interpretable,interpretable,cooc,w
unstructured,unstructured,cooc,s
ideological,ideological,cooc,w
undistorted,undistorted,cooc,s
simpleminded,simpleminded,cooc,s
"""secure","""secure",cooc,s
morphological,morphological,cooc,w
disciplined,disciplined,cooc,s
reconfigurable,reconfigurable,cooc,s
displayable,displayable,cooc,w
crossdomain,crossdomain,cooc,s
bounded,bounded,cooc,w
overrideable,overrideable,cooc,w
prehistoric,prehistoric,cooc,s
accesible,accesible,cooc,w
"""sketchy""","""sketchy""",cooc,s
unperishable,unperishable,cooc,s
tuneable,tuneable,cooc,w
"""messy""","""messy""",cooc,s
"expensive""","expensive""",cooc,s
sizable,sizable,cooc,w
hackish,hackish,cooc,s
indipendant,indipendant,cooc,w
slippery,slippery,cooc,s
transitional,transitional,cooc,w
innappropriate,innappropriate,cooc,s
upvoted,upvoted,cooc,s
immersive,immersive,cooc,s
'immutable','immutable',cooc,s
unrepsonsive,unrepsonsive,cooc,w
unmodifiable,unmodifiable,cooc,w
inefficent,inefficent,cooc,s
recoverable,recoverable,cooc,s
yucky,yucky,cooc,s
unmaintained,unmaintained,cooc,w
simultanious,simultanious,cooc,w
aesthetic,aesthetic,cooc,s
aggresive,aggresive,cooc,s
customable,customable,cooc,s
slowish,slowish,cooc,s
uncontroversial,uncontroversial,cooc,s
undecipherable,undecipherable,cooc,s
agressive,agressive,cooc,s
measureable,measureable,cooc,w
promotional,promotional,cooc,w
pitty,pitty,cooc,s
awfull,awfull,cooc,s
"""squeaky","""squeaky",cooc,w
upvote,upvote,cooc,s
unfeasible,unfeasible,cooc,s
frameless,frameless,cooc,w
fizzle,fizzle,cooc,w
extendable,extendable,cooc,s
auditable,auditable,cooc,w
suboptimal,suboptimal,cooc,s
jited,jited,cooc,w
exploitative,exploitative,cooc,s
hellish,hellish,cooc,s
lossless,lossless,cooc,w
deadlocking,deadlocking,cooc,s
busted,busted,cooc,s
multilingual,multilingual,cooc,w
resiziable,resiziable,cooc,w
weired,weired,cooc,w
compressable,compressable,cooc,w
searchable,searchable,cooc,w
"""mutable","""mutable",cooc,s
deadbolt,deadbolt,cooc,w
obselete,obselete,cooc,s
unparsable,unparsable,cooc,w
immutable*,immutable*,cooc,s
proverbial,proverbial,cooc,w
resizable,resizable,cooc,w
separable,separable,cooc,w
cracking,cracking,cooc,s
speculative,speculative,cooc,s
semantical,semantical,cooc,w
compareable,compareable,gradables,""
additive,additive,gradables,""
indented,indented,gradables,""
simplier,simplier,gradables,""
stringifying,stringifying,gradables,""
